Tiempo(ms),Setpoint(cm),Altura(cm),PWM
15461,15.00,6.09,220.00
15481,15.00,5.67,220.00
15501,15.00,5.42,220.00
15521,15.00,5.40,152.12
15541,15.00,5.64,110.00
15561,15.00,5.91,110.00
15581,15.00,6.21,110.00
15601,15.00,6.78,110.00
15621,15.00,8.60,110.00
15641,15.00,9.69,110.00
15661,15.00,10.35,110.00
15681,15.00,10.18,184.35
15701,15.00,9.17,220.00
15721,15.00,8.55,220.00
15741,15.00,8.19,220.00
15761,15.00,7.97,214.89
15781,15.00,7.84,181.58
15801,15.00,8.03,110.00
15821,15.00,8.26,110.00
15841,15.00,8.40,110.00
15861,15.00,8.49,110.00
15881,15.00,8.54,110.00
15901,15.00,9.79,110.00
15921,15.00,9.19,220.00
15941,15.00,8.57,220.00
15961,15.00,8.19,220.00
15981,15.00,7.97,219.85
16001,15.00,7.84,184.93
16021,15.00,7.62,217.05
16041,15.00,7.90,110.00
16061,15.00,8.06,110.00
16081,15.00,8.02,146.35
16101,15.00,8.00,140.27
16121,15.00,8.12,110.00
16141,15.00,8.19,110.00
16161,15.00,8.23,110.84
16181,15.00,8.39,110.00
16201,15.00,8.48,110.00
16221,15.00,8.41,156.55
16241,15.00,8.49,110.00
16261,15.00,8.93,110.00
16281,15.00,8.80,177.70
16301,15.00,8.47,220.00
16321,15.00,8.26,211.19
16341,15.00,7.88,220.00
16361,15.00,7.52,220.00
16381,15.00,7.18,220.00
16401,15.00,6.97,220.00
16421,15.00,6.84,189.43
16441,15.00,6.64,220.00
16461,15.00,6.51,190.51
16481,15.00,6.58,115.47
16501,15.00,7.26,110.00
16521,15.00,7.67,110.00
16541,15.00,8.05,110.00
16561,15.00,8.54,110.00
16581,15.00,9.09,110.00
16601,15.00,9.42,110.00
16621,15.00,9.62,110.00
16641,15.00,9.74,110.00
16661,15.00,9.81,110.00
16681,15.00,9.86,110.00
16701,15.00,10.02,110.00
16721,15.00,9.98,137.27
16741,15.00,9.82,184.18
16761,15.00,9.60,213.15
16781,15.00,9.21,220.00
16801,15.00,8.97,220.00
16821,15.00,8.31,220.00
16841,15.00,8.30,135.66
16861,15.00,8.43,110.00
16881,15.00,8.37,153.86
16901,15.00,8.08,220.00
16921,15.00,8.16,110.00
16941,15.00,10.13,110.00
16961,15.00,9.14,220.00
16981,15.00,8.54,220.00
17001,15.00,8.58,116.74
17021,15.00,8.46,178.07
17041,15.00,8.14,220.00
17061,15.00,7.94,212.46
17081,15.00,8.08,110.00
17101,15.00,8.03,153.54
17121,15.00,7.88,196.36
17141,15.00,7.91,122.39
17161,15.00,8.07,110.00
17181,15.00,8.03,152.16
17201,15.00,8.00,145.49
17221,15.00,7.99,138.74
17241,15.00,7.98,140.27
17261,15.00,7.97,138.49
17281,15.00,7.97,137.46
17301,15.00,7.96,136.89
17321,15.00,7.96,136.60
17341,15.00,7.96,136.46
17361,15.00,9.16,110.00
17381,15.00,8.56,220.00
17401,15.00,8.45,176.87
17421,15.00,8.65,110.00
17441,15.00,8.77,110.00
17461,15.00,8.58,209.83
17481,15.00,8.46,179.85
17501,15.00,8.26,214.93
17521,15.00,7.62,220.00
17541,15.00,7.23,220.00
17561,15.00,7.26,129.13
17581,15.00,7.41,110.00
17601,15.00,7.50,110.00
17621,15.00,7.55,118.33
17641,15.00,7.98,110.00
17661,15.00,9.32,110.00
17681,15.00,9.05,220.00
17701,15.00,8.88,198.45
17721,15.00,8.52,220.00
17741,15.00,8.30,220.00
17761,15.00,8.17,191.15
17781,15.00,8.08,169.88
17801,15.00,7.90,210.18
17821,15.00,7.80,182.17
17841,15.00,7.73,165.41
17861,15.00,7.69,155.41
17881,15.00,7.80,110.00
17901,15.00,7.86,113.32
17921,15.00,7.90,123.50
17941,15.00,8.19,110.00
17961,15.00,8.49,110.00
17981,15.00,8.67,110.00
18001,15.00,8.78,110.00
18021,15.00,8.84,110.00
18041,15.00,8.75,171.10
18061,15.00,8.70,156.88
18081,15.00,8.66,148.39
18101,15.00,8.64,143.34
18121,15.00,8.24,220.00
18141,15.00,8.00,220.00
18161,15.00,7.85,198.40
18181,15.00,7.76,175.79
18201,15.00,7.71,162.27
18221,15.00,7.68,154.21
18241,15.00,7.66,149.42
18261,15.00,7.65,146.59
18281,15.00,7.52,195.17
18301,15.00,7.44,174.88
18321,15.00,7.40,162.76
18341,15.00,7.11,220.00
18361,15.00,6.93,219.11
18381,15.00,7.09,110.00
18401,15.00,7.57,110.00
18421,15.00,7.72,110.00
18441,15.00,7.95,110.00
18461,15.00,8.21,110.00
18481,15.00,8.24,128.15
18501,15.00,8.13,185.79
18521,15.00,8.07,165.40
18541,15.00,8.03,155.95
