0,14.73,146.16
8801,15.00,15.41,142.16
8821,15.00,15.00,153.83
8841,15.00,14.71,151.44
8861,15.00,14.50,149.78
8881,15.00,14.36,148.62
8901,15.00,14.26,147.82
8921,15.00,14.61,135.63
8941,15.00,14.86,137.66
8961,15.00,15.03,139.08
8981,15.00,15.15,140.07
9001,15.00,15.24,140.76
9021,15.00,15.30,141.23
9041,15.00,15.34,141.57
9061,15.00,15.37,141.80
9081,15.00,15.39,141.95
9101,15.00,15.40,142.06
9121,15.00,15.41,142.13
9141,15.00,15.00,153.67
9161,15.00,14.71,151.32
9181,15.00,14.51,149.68
9201,15.00,14.47,145.70
9221,15.00,14.97,131.02
9241,15.00,15.32,133.89
9261,15.00,15.57,135.88
9281,15.00,15.74,137.27
9301,15.00,15.33,152.70
9321,15.00,15.05,150.37
9341,15.00,14.85,148.74
9361,15.00,14.71,147.60
9381,15.00,14.61,146.81
9401,15.00,14.55,146.26
9421,15.00,15.02,131.41
9441,15.00,15.47,131.17
9461,15.00,15.78,133.70
9481,15.00,15.99,135.46
9501,15.00,16.15,136.67
9521,15.00,15.83,149.15
9541,15.00,15.61,147.31
9561,15.00,15.45,146.03
9581,15.00,15.34,145.13
9601,15.00,15.27,144.50
9621,15.00,14.90,152.71
9641,15.00,14.64,150.61
9661,15.00,14.46,149.28
9681,15.00,14.33,148.09
9701,15.00,14.25,147.40
9721,15.00,14.18,147.06
9741,15.00,14.13,146.70
9761,15.00,14.11,146.32
9781,15.00,14.40,137.67
9801,15.00,14.60,139.35
9821,15.00,14.75,140.38
9841,15.00,14.85,141.37
9861,15.00,14.91,141.94
9881,15.00,14.86,145.03
9901,15.00,14.82,144.89
9921,15.00,14.80,144.66
9941,15.00,14.78,144.51
9961,15.00,14.76,144.40
9981,15.00,14.75,144.33
10001,15.00,14.75,144.28
10021,15.00,14.74,144.25
10041,15.00,14.74,144.23
10061,15.00,14.74,144.22
10081,15.00,14.84,141.37
10101,15.00,14.91,141.82
10121,15.00,14.97,142.26
10141,15.00,15.00,142.56
10161,15.00,15.03,142.78
10181,15.00,15.05,142.92
10201,15.00,15.16,140.19
10221,15.00,15.25,140.85
10241,15.00,14.78,155.78
10261,15.00,14.45,153.10
10281,15.00,14.22,151.23
10301,15.00,14.06,149.93
10321,15.00,14.47,134.57
10341,15.00,14.76,136.95
10361,15.00,14.96,138.61
10381,15.00,15.10,139.77
10401,15.00,15.20,140.58
10421,15.00,15.27,141.15
10441,15.00,15.32,141.54
10461,15.00,15.36,141.81
10481,15.00,15.06,150.65
10501,15.00,14.86,149.12
10521,15.00,14.71,147.93
10541,15.00,14.61,147.10
10561,15.00,14.54,146.53
10581,15.00,14.49,146.13
10601,15.00,14.45,145.85
10621,15.00,14.43,145.52
10641,15.00,14.42,145.43
10661,15.00,14.73,136.57
10681,15.00,14.95,138.35
10701,15.00,15.20,136.76
10721,15.00,15.28,141.06
10741,15.00,15.33,141.48
10761,15.00,15.89,127.44
10781,15.00,16.28,130.62
10801,15.00,16.55,132.82
10821,15.00,16.74,134.35
10841,15.00,16.56,144.05
10861,15.00,16.43,142.98
10881,15.00,16.35,142.22
10901,15.00,16.28,141.67
10921,15.00,16.24,141.29
10941,15.00,16.21,141.00
10961,15.00,16.30,137.82
10981,15.00,16.36,138.28
