Tiempo(ms),PWM,Altura(cm)
24840,173,22.16
24860,173,22.13
24880,173,21.72
24900,173,21.47
24920,173,22.75
24940,173,23.01
24960,173,22.63
24980,173,22.42
25000,173,22.28
25020,173,22.20
25040,173,22.15
25060,173,22.13
25180,173,22.38
25200,173,22.39
25220,173,22.40
25240,173,22.41
25260,173,22.02
25280,173,21.78
25300,173,21.65
25320,173,21.57
25340,173,21.52
25380,173,22.02
25400,173,21.79
25460,173,21.64
25480,173,21.56
25500,173,21.91
25520,173,22.12
25540,173,22.24
25560,173,21.78
25600,173,21.51
25620,173,21.35
25640,173,21.79
25660,173,22.04
25680,173,22.18
25700,173,22.28
25740,173,21.80
25760,173,20.60
25780,173,20.95
25801,173,21.55
25820,173,21.51
25840,173,21.48
25860,173,22.00
25900,173,22.17
25920,173,22.27
25940,173,22.86
25960,173,22.68
25980,173,22.57
26000,173,22.51
26020,173,22.61
26080,173,22.53
26100,173,22.09
26120,173,21.69
26140,173,21.99
26200,173,21.77
26220,173,22.17
26280,173,22.39
26300,173,22.01
26320,173,22.31
26340,173,23.01
26360,173,22.37
26380,173,22.52
26420,173,22.61
26441,173,22.27
26460,173,22.59
26480,173,23.30
26500,173,22.68
26520,173,22.44
26580,173,22.16
26600,173,22.00
26620,173,21.90
26640,173,21.85
26660,173,21.82
26680,173,21.80
26700,173,21.25
26720,173,21.46
26740,173,21.58
26760,173,21.65
26780,173,21.70
26800,173,20.67
26820,173,21.11
26840,173,21.38
26860,173,21.54
26880,173,21.63
26900,173,21.68
26920,173,21.71
26940,173,21.73
26980,173,21.74
27000,173,21.75
27020,173,22.28
27081,173,22.73
27120,173,23.50
27140,173,22.92
27160,173,23.11
27200,173,23.09
27220,173,23.08
27240,173,22.54
27260,173,22.23
27280,173,22.57
27300,173,22.37
27320,173,22.78
27400,173,23.41
27420,173,22.87
27440,173,22.41
27460,173,21.75
27540,173,22.02
27580,173,22.58
27600,173,23.29
27620,173,22.66
27640,173,21.77
27660,173,21.77
27740,173,21.90
27760,173,22.51
27780,173,22.86
27800,173,23.45
27820,173,22.37
27840,173,22.12
27860,173,21.98
27880,173,22.02
27900,173,22.05
27920,173,22.20
27960,173,22.42
28020,173,23.43
28040,173,23.67
28060,173,23.28
28100,173,22.53
28120,173,21.96
28140,173,21.61
28160,173,21.41
28180,173,21.29
28200,173,21.75
28220,173,21.49
28240,173,21.35
28260,173,21.13
28280,173,21.52
28300,173,21.22
28320,173,21.18
28340,173,21.16
28361,173,21.14
28380,173,21.13
28400,173,21.13
28420,173,21.13
28440,173,21.12
28460,173,20.99
28480,173,20.91
28520,173,21.40
28540,173,21.15
28560,173,21.00
28580,173,21.31
28600,173,21.63
28620,173,21.29
28640,173,21.09
28660,173,20.97
28680,173,21.43
28700,173,21.71
28720,173,21.73
28780,173,21.74
28820,173,21.76
28840,173,21.76
28860,173,22.15
28880,173,22.39
28900,173,22.00
28920,173,21.78
28940,173,21.64
28960,173,21.56
28980,173,21.51
29001,173,22.14
29020,173,22.52
29060,173,22.22
29080,173,22.03
29120,173,21.93
29140,173,21.07
29160,173,21.22
29180,173,21.44
29200,173,21.57
29240,173,21.65
29260,173,21.70
29280,173,21.20
29300,173,20.90
29320,173,21.79
29380,173,21.91
29400,173,21.98
29420,173,22.02
29440,173,22.05
29480,173,21.93
29500,173,21.86
29520,173,21.82
29540,173,22.46
29560,173,22.17
29580,173,21.48
29600,173,21.59
29620,173,21.66
29641,173,21.71
29660,173,21.21
29680,173,21.31
29700,173,21.50
29720,173,21.60
29740,173,21.14
29760,173,21.40
29780,173,21.68
29800,173,21.71
29820,173,21.87
29840,173,21.96
29860,173,21.48
29880,173,21.20
29900,173,21.56
29920,173,21.78
29940,173,21.37
29960,173,21.27
29980,173,21.21
30000,173,21.04
30020,173,20.94
30060,173,21.41
30080,173,21.29
30100,173,21.22
30120,173,21.19
30140,173,21.69
30160,173,21.99
30180,173,21.63
30200,173,21.43
30220,173,21.30
30240,173,21.23
30260,173,21.18
30281,173,21.15
30300,173,21.14
30320,173,21.13
30340,173,21.66
30360,173,21.97
30380,173,21.62
30400,173,21.42
30440,173,21.83
30460,173,20.62
30480,173,20.82
30500,173,20.94
30520,173,21.02
30540,173,21.59
30560,173,21.40
30580,173,21.29
30600,173,21.22
30620,173,21.18
30640,173,21.15
